"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.796891812E2,6.505743560E1,2.547024614E1,1.789905595E1,1.360000014E0,4.079999924E1,3.790092468E0,2.500000000E0
1.806883093E2,6.505744389E1,2.547026177E1,1.773639582E1,1.399999976E0,3.909999847E1,3.790092468E0,2.500000000E0
1.816884865E2,6.505745302E1,2.547027426E1,1.799939420E1,1.379999995E0,2.910000038E1,3.790092468E0,2.500000000E0
1.827019593E2,6.505746238E1,2.547028381E1,1.795794882E1,1.379999995E0,2.760000038E1,3.790092468E0,2.500000000E0
1.836827289E2,6.505747159E1,2.547029287E1,1.837823440E1,1.350000024E0,2.629999924E1,3.790092468E0,2.526957273E0
1.846831908E2,6.505748183E1,2.547029755E1,1.849041365E1,1.429999948E0,1.010000038E1,3.790092468E0,2.783882856E0
1.856867389E2,6.505749220E1,2.547030240E1,1.930291024E1,1.399999976E0,1.250000000E1,3.790092468E0,2.944967508E0
1.866951509E2,6.505750314E1,2.547030710E1,2.053526744E1,1.409999967E0,7.900000095E0,3.790092468E0,3.077936411E0
1.876874861E2,6.505751489E1,2.547031037E1,2.078929166E1,1.370000005E0,7.300000191E0,3.790092468E0,3.158812046E0
1.886841777E2,6.505752725E1,2.547031609E1,2.064231494E1,1.529999971E0,1.239999962E1,3.790092468E0,3.091064453E0
1.896834250E2,6.505753938E1,2.547032356E1,2.085306555E1,1.480000019E0,1.019999981E1,3.790092468E0,2.988488436E0
1.906866869E2,6.505755217E1,2.547032823E1,2.065591765E1,1.559999943E0,3.500000000E0,3.790092468E0,2.879770279E0
1.916863019E2,6.505756530E1,2.547033098E1,2.061508045E1,1.539999962E0,1.600000024E0,3.790092468E0,2.802187920E0
1.926798362E2,6.505757792E1,2.547033582E1,2.051925100E1,1.490000010E0,6.300000191E0,3.790092468E0,2.800758600E0
1.936848757E2,6.505759097E1,2.547033968E1,2.046181239E1,1.519999981E0,0.000000000E0,3.790092468E0,2.661736488E0
1.946847128E2,6.505760488E1,2.547034262E1,2.050538654E1,1.590000033E0,1.200000048E0,3.790092468E0,2.665173531E0
1.956887657E2,6.505761904E1,2.547034399E1,2.017096969E1,1.409999967E0,3.550000000E2,3.790092468E0,2.680900574E0
1.966897253E2,6.505763366E1,2.547034619E1,2.013397708E1,1.559999943E0,4.000000060E-1,3.790092468E0,2.689041138E0
1.976884034E2,6.505764959E1,2.547034889E1,2.017388833E1,1.659999967E0,2.200000048E0,3.790092468E0,2.615114450E0
1.986912707E2,6.505766503E1,2.547035210E1,2.043798195E1,1.600000024E0,2.400000095E0,3.790092468E0,2.762492657E0
1.996887917E2,6.505767947E1,2.547035630E1,2.112743005E1,1.480000019E0,6.099999905E0,3.790092468E0,3.178433180E0
2.006862667E2,6.505769479E1,2.547035961E1,2.142899931E1,1.610000014E0,1.700000048E0,3.790092468E0,3.284062862E0
2.016849314E2,6.505771137E1,2.547036101E1,2.175504298E1,1.629999995E0,8.999999762E-1,3.790092468E0,3.158162832E0
2.026886996E2,6.505772747E1,2.547036194E1,2.172616735E1,1.529999971E0,4.000000060E-1,3.790092468E0,3.028136492E0
2.036816491E2,6.505774379E1,2.547036303E1,2.207833413E1,1.669999957E0,3.500000000E0,3.790092468E0,2.923961401E0
2.046970704E2,6.505775929E1,2.547036462E1,2.249074297E1,1.549999952E0,4.099999905E0,3.790092468E0,2.877540827E0
2.056837389E2,6.505777451E1,2.547036348E1,2.262629616E1,1.529999971E0,3.593999939E2,3.790092468E0,2.815256357E0
2.066875741E2,6.505779050E1,2.547036220E1,2.246302091E1,1.690000057E0,2.599999905E0,3.790092468E0,2.597680807E0
2.076854506E2,6.505780653E1,2.547036092E1,2.257617387E1,1.539999962E0,2.000000030E-1,3.790092468E0,2.537227631E0
2.086870872E2,6.505782148E1,2.547035852E1,2.269567478E1,1.500000000E0,3.596000061E2,3.790092468E0,2.519065380E0
2.096866743E2,6.505783627E1,2.547035347E1,2.285081998E1,1.490000010E0,3.562999878E2,3.790092468E0,2.552278280E0
2.107055338E2,6.505785151E1,2.547034866E1,2.306944161E1,1.529999971E0,1.299999952E0,3.790092468E0,2.634949684E0
2.117044979E2,6.505786599E1,2.547034464E1,2.325785120E1,1.480000019E0,0.000000000E0,3.790092468E0,2.636536837E0
2.126879586E2,6.505788118E1,2.547034139E1,2.336801354E1,1.539999962E0,3.000000000E0,3.790092468E0,2.691940546E0
